sc-hKgILt,sc-hKgILt 3,sc-hKgILt 4,sc-hKgILt 5
احسان,۵,عالی بود خیلی خوشمان امد,پیتزا پپرونی (ایتالیایی)
رامتین,۵,عالی بود,پیتزا ایتالیایی کاپریچیوزا (نیمه آماده)
ایمان,۳,پیتزا تو جعبه مچاله شده بود...,پیتزا پپرونی (ایتالیایی)
شيوا,۵,مزه پيتزاها عالي بود و نسبتا گرم و در مدت زمان خوبي به دستم رسيد فقط يكم زيادي چرب بود به خصوص پيتزاي گوشت و قارچ. با تشكر فراوان,پیتزا بیکن (ایتالیایی)
فرخنده,۵,عاااالی,سوپر برگر (پرسی)
امیر,۵,سرد شده بود,پیتزا بیکن (ایتالیایی)
امیر,۵,من این غذاشونو رو خیلی دوست دارم . برگر واقعا گوشته مثل بقیه جاها نیست . حجم سیب زمینی خوبه و کیفیت هات داگ هم خوبه . پیشنهاد میکنم فقط قیمتش بالاس که طبیعیه,سوپر برگر (پرسی)
سیدمحمدامین,۳,یک پیک دو تا سفارش گرفته بود برای ما رو آورد گفت ببین درسته. در نتیجه برای ما خمیر شده بود چون ما دومی بودیم,پیتزا پپرونی (ایتالیایی)
سیمین,,عالییییییییی بودخداقوت,پیتزا میکس (آمریکایی)
علی,۴,خوب بود. فقط چرا پیتزا گوشت قلقلی‌شون رو به عنوان پیتزای مستقل نمیدن؟ خوشمزه است.,پیتزا چهارفصل (ایتالیایی)
شیما,,هات داگ خیلی کهنه بود. هم نون و هم خود هات داگ بیات بودند. هیچ تازگی نداشت. سیب زمینی سرخ کرده هم پر از فلفل سیاه بود. ادویه ویژه نداشت.,ساندویچ هات داگ ویژه
رامین,,"اصلا تازه نبود؛ میشد حس کرد حداقل برای ۱ ساعت پیشه.
ولی خوشمزه بود :)",پیتزا پپرونی (ایتالیایی)
بهروز,,بسیار بسیار شور و غیر قابل خوردن بود.,پیتزا گوشت و قارچ (آمریکایی)
مسعود,,اندازه پیتزا به نسبت قیمت آن کوچک بود,پیتزا میکس (آمریکایی)
حسن,۳,خیلی دیر رسید یخ کرده بود,ساندویچ سوچیک
علی,۴,خوب بود ولی اویشن روی سیب زمینیا زده بودن زیاد  که ساده سفارش داده بودم.,پیتزا چهارفصل (ایتالیایی)
shayan,۵,با اینکه تو توضیحات نوشته بودم نصف شود ،نصف نشده بود,ساندویچ رست بیف
محمد رضا,,غذا خیلی خیلی سرد بود,پیتزا مونترال (آمریکایی)
آرش,۵,پیتزا چانوش که خوب و با کیفیت بود,پیتزا چانو (ایتالیایی)
حامد,,هر روز کیفیت پیتزا این رستوران کم میشه، بنظرم بجای بالا بردن کیفیت بسته بندی به محتوای بسته بندی بیشتر توجه کنند موفق تر خواهند شد!,پیتزا گوشت و قارچ (آمریکایی)
مهدی,۵,عالی,پیتزا میکس کالزون (آمریکایی)
بهرام,۵,خوب,سیب زمینی
مهتا,۴,پیتزا عالی بود ولی کاش رو سیب زمینی آویشن و اینا نزنین، هم سلیقه ایه هم بچه نمیخوره,پیتزا آفریکانا (آمریکایی)
هستی,۵,پيتزا پپروني عالي,پیتزا پپرونی (ایتالیایی)
آناهیتا,۵,طعم عالی بود.,پیتزا بیکن (ایتالیایی)
فرحناز,,"ممنون از خدماتتون پیتزا عالی بود
اما نون همبرگر مونده بود چون کاملا خرد شد
با تشکر",ماشروم برگر
