sc-hKgILt,sc-hKgILt 3,sc-hKgILt 4,sc-hKgILt 5
حمیدرضا,۵,ارسال سریع,پیتزا میکس کالزون (آمریکایی)
مژ,۵,خیلی خوب و حرفه‌ای و خوشمزه! دم همه اونایی که اونجا کار میکنن گرم. مخصوصا کسی که سس پنیر هم برام فرستاد,پیتزا سبزیجات (ایتالیایی)
زهرا,۱,سیب زمینی مونده و بی کیفیت. دیگه از شما خرید نخواهم کرد,قارچ سوخاری
مژ,۵,"خوشششششششششمزه
دمتون گرم همه سیب۳۶۰",پیتزا سبزیجات (ایتالیایی)
مینا,۱,برخلاف اینکه پپرونی باید تند باشه یا حداقل طعم معمولی داشته باشه بسیار شیرین و پر از ادویه بوداصلا راضب نبودم,پیتزا پپرونی (ایتالیایی)
شقایق,۴,هیچ کدام از سفارش ها داخل پلاستیک نبود دونه دونه دستم دادن,استرامبولی استراچیکن
سوگند,۱,من همیشه از شعبات دیگه میگرفتم و راضی بودم. لاهماجون همش ریخته بود و بوی بدی میداد، خیلی خیلی بد. و همه جارو روغنی کرد. نون سیر هم مزه خمیر میداد. خیلی بد بود انتظار نداشتم,لاهماجون تند
ارزو,۵,مثل همیشه عالی به موقع دریافت کردم فقط کاش نون پیتزاها شیرین نبود,پیتزا پپرونی (ایتالیایی)
مژگان,۵,همیشه خوبه ، ولی امشب پیرونی فوق العاده  بود،,نان سیر
ریحانه,۵,بسیار خوشمزه و داغ رسید ممنون,پیتزا چیکن گورمه (ایتالیایی)
دانیال,۵,خوب بود فقط سرد به دستم رسیده بود,پیتزا پپرونی (ایتالیایی)
نگین,۵,توی فودپارتی سفارش دادم برای همین راضی بودم از قیمت,نوشابه قوطی کوکا کولا
پگاه,۵,خیلی لذیذ و پر پنیر و خوشمزه و عالی بود,پیتزا مارگاریتا (آمریکایی)
نگین,۳,خوشمزه هست ولی قیمت به نسبت رستوران های دیگه بالاست بنظرم اگه توی فودپارتی باشه ارزش داره,پیتزا چانو (ایتالیایی)
فرناز,۱,قارچ سوخاری بسیار شور بود,پاپ فرایز
امیر,۳,غذا بسیار سرد بود,پیتزا توکیو (آمریکایی)
مجید,۴,به نظرم ۱مقداری کیفیت اومده پایین,هات کمبو
علی,۳,نون پیتزا شیرین بود,پیتزا پپرونی (ایتالیایی)
حامد,۵,خیلی خوشمزه,پیتزا چیکن گورمه (ایتالیایی)
نرگس,۵,با اينكه درخواستهاي زيادي براي تحويل سفارش ثبت كرده بودم، تمامي موارد لحاظ شده بود هم از ساعت تحويل و هم روش بسته بندي و ... موفق و مويد باشيد,سیب زمینی پنیر ویژه
خانم,۳,نسبت به قبل یکم کیفیت پایین اومده,پیتزا مونترال (آمریکایی)
arefe,۵,پیتزا کمی تند بود ولی خوشمزه و عالی بود,پیتزا میکس کالزون (آمریکایی)
حجت,۵,ممنون.امیدوارم همیشه کیفیت همین باشه,استرامبولی استرا رست
Elahe,۵,ممنون از سیب بخاطر کیفیت خوبش,استرامبولی استرا رست
م,۳,نوشیدنی های فلزی و سالاد ها سر و ته و در هم بر هم، داخل یک پلاستیک ریخته شده بود  کیفیت معمولی قیمت بالا,ماشروم برگر
حامد,۵,بسیار خوشمزه ولی قیمتش نسبت به حجم متناسب نیست به نظرم,لاهماجون نرمال
رامین,۲,چند سالی بود از سیب ۳۶۰ سفارش نداده بودم. نسبت به قدیم افت کیفیت شدیدی داشت. یه غذای خیلی خیلی معمولی بود، فقط بد نبود. بیش از حد معمولی و صرفا چرب و چیلی بود.,پیتزا میکس (آمریکایی)
رسول,۳,تو باکت در بسته نبود,استرامبولی استراپستو
فاطمه,۵,خوشمزه بود واقعاااا حجمش هم خوب بود نسبت ب جاهای دگ,استرامبولی استرا بیف
فاطمه,۵,راضی هستم متشکر,پیتزا سبزیجات (آمریکایی)
علی,۵,ممنون از پیتزاهای خوشمرتون,پیتزا میکس کالزون (آمریکایی)
فردین,۴,کیفیته خوبی دارن، اما حجم کمی داره و نسبت به قیمت خوب نیست,پیتزا گوشت و قارچ (آمریکایی)
Shabnam,۱,به شدت بی کیفیت بود,پیتزا میکس (آمریکایی)
سارا,۵,مثل همیشه بی نظیر,پیتزا پپرونی (ایتالیایی)
سارا,۵,بی نظیر خوشمزه خوشمزه قشنگ هوس میکنی,پیتزا پپرونی (ایتالیایی)
شکوفه,۱,غذای شور و له و افتضاح,سوپر برگر (پرسی)
زهرا,۳,پیتزا چرب بود,پیتزا چهارفصل (ایتالیایی)
هدیه,۵,استرامبولی های سیب ۳۶۰ خیلی خوشمزه س. قیمتشم به نسبت مناسبه. فقط یه خورده سرد به دستمون رسید.,استرامبولی استراجین
زینب,۲,لطفا به توضیحات توجه کنید,پیتزا بیکن (ایتالیایی)
نسیم,۳,مواد روی پیتزا بسیار کم بود,پیتزا آفریکانا (آمریکایی)
آرزو,۵,خیلی خیلی خیلی خوشمزه بود,پیتزا لاتینو میتادیا
فاطمه,۵,کیفیتش رو به نظر من حفظ کرده و همچنان خوشمزس,پیتزا چهارفصل (ایتالیایی)
م,۵,عالی بود پیتزا مارگاریتا خوشمزه و خوش طمع,پیتزا مارگاریتا (ایتالیایی)
حدیقه,۵,بسیار خوشمزه و با کیفیت و تمیز بود,پیتزا میکس کالزون (آمریکایی)
Neda,۵,مثل همیشه عالییییی,استرامبولی استرا رست
محمد,۵,مثل همیشه عالی,پیتزا چهارفصل (ایتالیایی)
مريم,۵,سیب همیشه عالی بوده و هست,ساندویچ مرغ ویژه
نيما,۳,غذا های شما همبشه با کیفیته و خوشمزس ولی قبلاً که من ۲۴ ساعت ازتون غذا میگرفتم حجم بیشتر بود,پیتزا پپرونی (ایتالیایی)
نیلوفر,۴,درکل کیفیت سفارش خوب بود اما مرغ روی پیتزا خیلی سفت بود,استرامبولی استراپستو
شهره,۵,مزه و کیفیت عالی و بسیار سریع تحویل داده شد,پیتزا سوپریم (ایتالیایی)
فا۳,۳,ژامبون ها مونده و کم بودن و عین پوره انگار رنده شده بود روی سیب زمینی ها,میکس فرایز
فاطمه,۵,داغ بود و خیلی زود ب دستم رسید.مرسی پیتزا سیب,پیتزا چهارفصل (ایتالیایی)
راحیل,۵,لاهماجون بود که خیلی خوشمزه بود، فقط برای پیش غذا مناسب بود. من فکر کردم غذای اصلی میشه,لاهماجون نرمال
سمیه,۵,خییییلی خوشمزه و خوب,سوپر برگر (پرسی)
علی,۱,مثل همیشه نبود!,پیتزا میکس کالزون (آمریکایی)
خانم,۲,مزه گوشت وپودر سبزی که ریخته بودن باذائقه ما خوب نبود,پیتزا چانو (ایتالیایی)
محمد,۵,چه پیتزای دادید عالی بود دمتون گرم,پیتزا چهارفصل (ایتالیایی)
محمدرضا,۵,عالی باکیفیت,پیتزا پپرونی (آمریکایی)
mhsa,۵,طعم پیتزا فوق العاده بود خیلی خوشمزه و حجم خوب برگر هم خیلی خوشمزه فقط قارچ و پنیرش کم بود ولی در کل عالی با اینکه مسافت طولانی بود خیلی زود به دستمون رسید,پیتزا سوپریم (ایتالیایی)
آيدا,۴,غذا خوب و گرم بود وخیلی سریع به دستم رسید، تنها مشکلی که داشت این بود که مرغ‌های رو پیتزا به شدت بوی زهم میدادن و آزاردهنده بود...,پیتزا چیکن گورمه (ایتالیایی)
Fatemeh,۱,مواد اولیه استفاده شده کاملا بی کیفیت بود مرغ رو پیتزام کاملا خشک و کهنه و بی مزه,پیتزا آفریکانا (آمریکایی)
وحید,۱,ویکی که غذا را آورد، گفتم باید بیایید دم درب ساختمان تحویل بگیرید.,پیتزا چهارفصل (ایتالیایی)
نرگس,۴,دوغ دو تا سفارش داده بودم اما یکی گذاشته شده بود,پیتزا گوشت و قارچ (آمریکایی)
mohammad,۵,بسیارعالی وباکیفیت بود ممنونیم ازسیب,پیکو کمبو
مریم,۴,خوشمزه بود.,پیتزا بیکن (ایتالیایی)
hamidreza,۴,"خیلی کیفیت عالی بود فقط یه مقدار دقت پایین بود سیب زمینی رو بجای با پنیر ساده فرستادن اما در کل خوب بود 
تشکر",پیتزا آفریکانا (آمریکایی)
سحر,۲,فقط سیب زمینیاش خوشمزه بودن,کانتری
ghazal,۱,متاسفم چون توسفارش تاکید داشتم رو سیب زمینی،انقدرتندبودریختم دور،آخرینبارم بود حیف پول,فیوژن
فاطمه,,خوب بود اما حجمش کم بود. ترجیح میدم از جای دیگه بگیرم بعدا,پیتزا آفریکانا (آمریکایی)
اسما,,از پیتزا سیب اصلا انتظار اینقد کیفیت پایین رو نداشتم...گوشت استیک اینقد بی کیفیت و سیاه بود که اول فکر کردم پپرونی اشتباهی اورده وقتی تست کردم دیدم ورقه های گوشت  هستش اما به شدت لاستیکی و سوخته بود...تمام خمیر دور پیتزا سوخته و تلخ بود.,پیتزا چانو (ایتالیایی)
s,۴,خیلی خوشمزه بود ولی خیلی کم بود,سیب زمینی پنیر ویژه
Mandi,۵,بسیار عالی و برخورد پیک خیلی محترمانه بود,پیتزا پپرونی (آمریکایی)
امیرعلی,۱,بسیار سرد و بی کیفیت,پیتزا آفریکانا (آمریکایی)
taha,۳,نان سیر بی کیفیت ولی پیتزا بیکن خوب و خوش مزه,پیتزا بیکن (ایتالیایی)
Shahrzad,۳,کیفیت قابل قبول اما حجم سیب زمینی نسبت به سفارشات قبلی کاهش پیدا کرده بود.,پیتزا چیکن گورمه (ایتالیایی)
پانیذ,۳,انقدر خمیر نازک بود که پیتزا قابل برداشتن نبود و خیلی سرد,پیتزا چهارفصل (ایتالیایی)
حانيه,۱,خمیر پیتزا خیلی نرم بود و پنیر پیتزا هم خیلی زیاد،کیفیت پیتزا ها پایین اومده.,پیتزا چهارفصل (ایتالیایی)
افسانه,۵,برخورد پیک عالی بود پیتزا و همبرگر طعم‌خوبی داشت فقط سرد شده بود.,ماشروم برگر
نیما,۳,سرد به دستتمون رسید,پیتزا پپرونی (ایتالیایی)
طاهری,۳,غذا سرد بود و خیلی دیر رسید,پیتزا آپاچینو (آمریکایی)
Reza,۳,روی پیتزا سوخته بود,پیتزا میکس کالزون (آمریکایی)
محمد حسین,۵,فقط نمیدونم چرا از اسنپ فود سفارش میدم عکس راننده شماره راننده نیست این برای من عجیب حالا لطفا اسنپ فود و پیتزا سیب پیگیر این موضوع باشن خیلی ممنون منظور پیک موتوری پیتزا سیب لطفا جدی پیگیری کنید چرا اسم راننده و شماره نیست خیلی ممنون,پیتزا پپرونی (آمریکایی)
بردیا,۴,به موقع دست مون رسید مثل همیشه خوشمزه و گرم بود ،ممنون از سیب مجیدیه,ماندولین و استارتر
شیوا,۵,عالی بود همه چیز ممنون,ساندویچ سوچیک
زهره,۴,پیتزا و سیب زمینی سرد بود,پیتزا سوپریم (ایتالیایی)
صابر,۱,"سلام
سلاد من ارسال نشد .
جعبه پیتزا له شده بود در حد اینکه بهش مواد پیتزا چسبیده بود 
به شدت دیر ارسال شد در حد اینکه من دو بار تاخیر زدم 
و قول میدم دیگه به سیب سفارش غذا ندم",اکو کمبو یک
فاطمه,۵,همه چی عالی بود فقط کاش یکم پنیر سیب زمینیش بیشتر بود,چیز برگر فرانسوی (پرسی)
مسعود,۴,"عالی بود
فقط یک نوشابه کم اورده بودن برام",پیتزا سبزیجات (ایتالیایی)
حمید,۲,هر دفعه گرفتم بین چهل دقیقه تا یک ساعت دیر آوردن,پیتزا چانو (ایتالیایی)
کوروش,۴,روی سیب زمینیتون یه ادویه خوشمزه میزدین،امشب نبود لطفا حذفش نکنین،سالاد زیاد جالب نبود اما بقیه موارد خوب بود ممنون,پیتزا مونترال (آمریکایی)
رامین,۳,خیلی خیلی  پیتزا معمولی بود پنیر کشش دار نداشت آویشن داخل جعبه نداشت سس قرمز ۱عدد واسه این پیتزا کم بود در کل خیلی معمولی بود واسه یه برند با این قیمت اصلا مناسب نبود,پیتزا مونترال (آمریکایی)
پویان,۳,"غذا طعم ادویه خیلی زیادی می داد من بارها از سیب پپرونی گرفتم اصلا خوب نبود.
سیب زمینی خوب بود ولی.",پیتزا پپرونی (ایتالیایی)
سمیه,۲,پیتزا خمیر بود و خیس,پیتزا سبزیجات (آمریکایی)
محمد,۱,نپخته بود,پیتزا توکیو (آمریکایی)
دنیز,۵,خیلی عالی بود,اکو کمبو دو
زهرا,۵,عالی بود,پیتزا چیکن گورمه (ایتالیایی)
محمدحسین,۱,سیب زمینی سرد سرد بود سس سیب زمینی هم خوب نبود پیتزا هم خیلی معمولی بود,سیب زمینی پنیر ویژه
محمد جعفر,۱,"سفارش پیتزا و هات داگ داشتم که متاسفانه بعد از گذشت ۴۵ دقیقه از ثبت سفارش، سفارشم رو ناقص ارسال کردن و هات داگ رو نیاوردن. دوباره ۴۰ دقیقه منتظر شدم تا هات داگ رو بیارن.
برای من تجربه خوبی از سیب ۳۶۰ نبود.
پیتزا خوشمزه بود اما هات داگ اصلا خوب نبود",ساندویچ هات داگ ویژه
فاطمه,۴,علیرغم تاکید به داغ بودن غذا، همچون دفعات آخر، سرد به دستم رسید.لطفا این موضوع را رعایت فرمایید. چون کیفیت غذا خوبه ولی چون سرد میرسه، قابل خوردن نیست.,پیتزا چهارفصل (ایتالیایی)
راحله,۴,برای بار اول سفارش دادم ،خمیرش خییلی نرم بود ولی درکل راضی بودیم,فیوژن
محسن,۴,خوشمزه بود,پیتزا چیکن گورمه (ایتالیایی)
armin,۱,با کلی تاخیر و کاملا سرد .کلا آخرش وقت نباید سفارش داد,کانتری
محسن,۱,سلام .من نمیدونم چرا دوساعت و نیم منتظر یه پیتزا باشم ساعت ۱۲:۳۰ شب رسیده دستم اونم اینقدر سرد شده بود که هیچی از طعمش نفهمیدم .واقعا متاسفم .پولمو ریختم دورر,پیتزا پپرونی (ایتالیایی)
ن,۵,مثل همیشه عالی.گرم و خوب بود رسید به دستمون.ممنون از سیب و اسنپ فود,پیتزا سبزیجات (آمریکایی)
رسول,۱,"کیفیت خیلی پایین ، در مورد پیتزا انگار نون تافتون خالی رو با یکی دوتا تیکه ژامبون تحویل دادن ، فوق العاده مواد کم و تمام سطح پیتزا خالی بود ، دقیقا حس خوردن نون تافتون داشت
سیب زمینی ها هم خام بودن 
اصلا توصیه نمیکنم",ویولت
فرزاد,۵,خیلی سریع و داغ داغ رسید. پیک بسیار با شخصیت و محترم. ممنون از مجموعه سیب ۳۶۰. پیتزای رویال هم خیلی استثنایی و جذاب بود,رویال
زاهد,۱,"یک ساعت و چهل و پنج دقیقه طول کشید تا سفارش به دستمون رسید. کاملا سرد و بی کیفیت. هیچ کس راضی نبود! 
واقعا هیچ نکته مثبتی پیدا نکردم بگم بجز رفتار مناسب پیک.",پیتزا میکس کالزون (آمریکایی)
سیداحمد,۴,سلام درکل خوب بود منتهی اینبار همه چی خیلی چرب و روغنی بود !!,پیتزا پپرونی (ایتالیایی)
بنفشه,۵,عالی بود,پیتزا چانو (ایتالیایی)
ندا,۳,غذا فوق العاده سرد..,اکو کمبو یک
سپیده,۱,فقط قیافه داره، اصلا خوشمزه نیست واقعا,پیتزا گوشت و قارچ (آمریکایی)
هدیه,۱,غذا بشدت بی کیفیت و سرد بود ، کاملا سرد به دستم رسید,پیتزا گوشت و قارچ (آمریکایی)
milad,۱,سیر استیک سفارش دادم رست بیف فرستادن.عجیبه,پیتزا بیف گورمه (ایتالیایی)
گیتا,۳,فقط نون سیر خوب بود,نان سیر
آرش,۱,۳ ساعت تاخیر رکورد خوبیه,استار کمبو (۲)
A,۵,کیفت غذاها خوب بودن، خیلی ممنون,ماشروم برگر
مجید,۵,عالی کیفیت خوب و به موقع رسید,پیتزا چهارفصل (ایتالیایی)
علیرضا,۵,پیتزا پپرونی مثل همیشه عالی بود. خمیر نازک، کیفیت خوب، غذای گرم و ارسال زودتر از موعد,پیتزا پپرونی (ایتالیایی)
مهسا,۱,"خیلی بد بود نه سبزیجات معطر داشت نه بیکن داشت نه پنیر داشت ، فقط فیله سوخاری و کاهو با ی نون خیس بود,متاسفم برای سیب",چیکوچی
ساناز,۴,گرم و تازه,پیتزا چهارفصل (ایتالیایی)
آزاده,۱,متاسفانه غذا کاملا سرد و بیات شده بود،با اینکه فاصله ی رستوران تا منزل حدود ۵ دقیقه هست,پیتزا بیکن (ایتالیایی)
محمد,۲,غذا کاملا سرد رسید,اکو کمبو یک
طاهره,۴,غذا گرم بود. ولی کیفیت غذا متوسط بود,پیتزا پپرونی (ایتالیایی)
نیلوفر,۲,خمیر بسیار نازک و نرم و مواد بسیار کم اصلا سیرکننده و راضی کننده نبود!!,پیتزا چهارفصل (ایتالیایی)
حامد,۱,با توجه به نزدیک بودن مکان ارسال سفارش ۱ساعت و ۲۰ دقیقه زمان برد، همچنین پس از تماس با منشی مجموعه، رفتار نامناسب ایشان من رو مجاب کرد که  این اخرین باری باشه که ازین فست فود خرید میکنم.,پیتزا گوشت و قارچ (آمریکایی)
سارا,۲,"فقط طعم فلفل دلمه ای حس میشد
بیمزه بود",پیتزا مونترال (آمریکایی)
ساناز,۳,پیتزای جدیدی بود. فقط از زمان ارسال ناراضی هستم. ۶۰ دقیقه واسه یدونه پیتزا خیلی زیاده,سیتار و استارتر
زهرا,۵,مشتری همیشگیتونم راضی ام,پیتزا بیف گورمه (ایتالیایی)
سپیده,۵,خوشمزه بود یکم سرد شده بود,پیتزا بیف گورمه (ایتالیایی)
مهناز,۱,این سومین باریه که ساندویچ با نون مونده ارسال میشه بار اول و دوم گذاشتم به حساب اتفاق ، ولی واقعا انگار ارزشی برای مشتری قائل نیستید  کیفیت افتضااااااااح,نوشابه قوطی کوکا کولا
فریده,۱,من همون دقیقه اول سفارش رو وقتی دیدم زمانش طولانی میشه و حدود یکساعت طول می‌کشه تماس گرفتم پشتیبانی که کنسل کنم و فست فود اعلام کرد سفارش ثبت شده و نمیشه کنسل کرد و سعی میکنن که زودتر بفرستن! ولی متاسفانه دقیقا ۲ ساعت بعد سفارش من رسید!!!! سفارش ساعت ۲۱/۲۸ و دریافت ساعت ۲۳/۲۷ !!!!!!,استار کمبو (۲)
حامد,۳,غذا سرد تحویل داده شد.,پیتزا کاپریچیوزا (ایتالیایی)
حسن,۵,سر موقع و گرم تحویل داده شد، کیفیت غذا هم خوب بود، متشکر از شما,پیتزا سوپریم (ایتالیایی)
حسین,۳,من قبلا این غذارو  گرفته بودم ، باید بگم که قبلا روی سیب زمینی سس قارچ میریختن و پنیر روی نون خیلی بیشتر بود و خود ساندویچ هم بزرگتر بود و ژانبون بیشتری هم داشت، به شکل کاملا محسوس از مقدار زده شده و به قیمت اضافه شده ، ولی مزه خوب بود و اینکه بسته بندی هم بهداشتی بود و ارسال غذا هم سریع بود,چیز برگر فرانسوی (پرسی)
میثم,۵,پیتزاها کاملا سرد بودند,پیتزا پپرونی (ایتالیایی)
سروش,۵,پپرونی کیفیت عالی,پیتزا پپرونی (ایتالیایی)
شهناز,۵,غذا گرم بود. خیلی برام مهم بود. سیب زمینی هم ترد بود. عالی بود. باتشکر,پیتزا سوپریم (ایتالیایی)
مهسا,۲,پیتزا پپرونی فوق العاده نازک بود .غذا سرد بود,پیتزا پپرونی (ایتالیایی)
فروغ,۳,سفارش سرد سرد به دستم رسید.,پیتزا چیکن گورمه (ایتالیایی)
علیرضا,۱,کاملا خمیر بود واقعا این انتظار نداشتم از سیب,پیتزا چهارفصل (ایتالیایی)
حمیده,۲,پیتزا کاملا سرد شده بود,پیتزا چانو (ایتالیایی)
ساناز,۲,پيتزا و سيب زميني كاملا سرد بود در صورتي كه مسافت خيلي نزديك بود سس تند هم يك عدد گذاشته شده بود,پیتزا چهارفصل (ایتالیایی)
محمد,۴,غذاش خوب بود ولی خیلی طول کشید,ماندولین و استارتر
مرتضی,۲,خیلی تاخیر داشت تا آوردن,پیتزا چیکن گورمه (ایتالیایی)
شفیقه,۵,مثل همیشه عالی بود..,کوپر
امیر,۴,سیب زمینی با پنیر: بجای اینکه پنیر روی سیب زمینی باشه، زیرش بود! و پنیر کلا روی جعبه چسبیده بود.,پیتزا کاپریچیوزا (ایتالیایی)
سینا,۵,بسیار عالی و خوشمزه بود,پیتزا پپرونی (ایتالیایی)
سارا,۱,مرغش خيلي بو ميداد اصلا قابل خوردن نبود، مجبور شدم همه مرغاشو جدا كنم بريزم بيرون,نوشابه قوطی کوکا کولا
علیرضا,۴,"کیفیت عالی بود، بخصوص بیف گورمه
ولی خیلی دیر رسید دستمون و از گرسنگی، زمین رو گاز گرفتیم.",پیتزا مونترال (آمریکایی)
سمیرا,۵,عالی,هارمونیکا و استارتر
آرمان,۴,سرد بود,پیتزا بیکن (ایتالیایی)
parsa,۳,قیمت زیاد بود,سوپر کمبو (۳)
امیر,۵,"سفارش زود رسید و گرم بود 
مثل همیشه خوب",سوپر برگر (پرسی)
خانم,۵,دیر ارسال شد و سرد بود ولی واقعا چیز برگر خوشمزه بود.,میکس کمبو (۱)
امیر,۱,سرد,پیتزا کالزون (آمریکایی)
ایمان,۱,"غذا هم دیر رسید هم سرد.
سیب زمینی همراه غذا نبود. مبلغی که بابتش پرداخت شده چی میشه اونوقت؟؟",پیتزا آفریکانا (آمریکایی)
Hani,۲,اکثرا رستوران ها پیتزا گرون کردن ، آدم توقع نداره بعد از  گرون شدن پیتزا ها آنقدر کیفیت بیاد پایین . کلا نون پیتزا بود که از روش یه مقدار مواد رد شده بود. من همیشه به خاطر کیفیت از پیتزا سیب خرید میکردم. اما با این رویه جدید من دیگه از پیتزا سیب خرید نخواهم کرد.,پیتزا کاپریچیوزا (ایتالیایی)
مونا,۱,خیلی افتضاح بود من ساعت ۹ شب سفارش دادم ساعت ۱۱:۱۰ غذای خمیر شده برام آوردن,پیتزا بیف گورمه (ایتالیایی)
فرشته,۵,خیلی زودتر از تایمی ک اسنپ زده بود اوردن...کیفیتشم خوب بود...,ساندویچ رست بیف
سینا,۵,من کلا پیتزا پپرونی خیلی دوست نداشتم ولی پپرونی نظرمو عوض کرد و واقعا خوش مزس فقط یکم خمیر هستش,پیتزا پپرونی (ایتالیایی)
یاسر,۴,دیر رسید دستم و سرد بود. تشکر,پیتزا چانو (ایتالیایی)
الهام,۵,نان سیر عالی بود، ساندویچ مرغ هم خیلی خوب بود,ساندویچ مرغ ویژه
مرضیه,۱,نوشابه زیرو نبود,سیب زمینی
فاطمه,۲,غذا سرد بود و خمیر شده بود,پیتزا توکیو (آمریکایی)
هدیه,۵,با کیفیت و خوب,پیتزا سبزیجات (ایتالیایی)
آرلین,۳,نان بیات بود.,ساندویچ هات داگ ویژه
امیرحسین,۵,واقعا خوشمزه بود,پیتزا میکس کالزون (آمریکایی)
ف,۵,خوشمزه بود,پیتزا پپرونی (ایتالیایی)
نوید,۵,خوب بود,ساندویچ هات داگ ویژه
ش,۵,عالی بود،رفتار پرسنل فوق العاده بود.سپاس,پیتزا مونترال (آمریکایی)
معین,۱,تاخیر بسیار عجیب و غیر قابل قبول، غذا رو ۲ ساعت و ۱۵ دقیقه بعد از سفارش بهم تحویل دادند. بعد از ۶ بار اعلام تاخیر بعد از اتمام هر تایمر و ۶ تماس از پشتیبانی اسنپ فود که هر بار ۱۰ دقیقه فرصت اضافه برای تحویل غذا می گرفتند.,پیتزا چانو (ایتالیایی)
مرضیه,۲,پیتزا ها کاملا سرد بود,مگا کمبو
محمد,۱,"سیب عالی بود
ولی هات داگ افتضاح",سیب زمینی
سینا,۵,مثل همیشه عالی,پیتزا توکیو (آمریکایی)
Sima,۳,پنیر خیلی کمی داشت - نونش وارفته بود,سوپر برگر (پرسی)
محمدامین,۴,غذا سرد بود,پیتزا آفریکانا (آمریکایی)
مهدی,۱,افتضاح بود.,پیتزا چانو (ایتالیایی)
ندا,۱,دقیقا دو ساعت طول کشید تا سفارش رو بیارن، شام ساعت ۱۲ شب به دستم رسید! دو بار زمان رو تمدید کردن، اگه این حجم از سفارش براتون امکان پذیر نیس سفارش گیری رو متوقف کنین ، هیچ احترامی برای مشتری قائل نیستن!,اکو کمبو یک
امیرحسین,۵,عالیه ممنونم,پیتزا مونترال (آمریکایی)
مهتاب,۵,خوب بود ولی قیمتها خیلی زیاده,پیتزا بیف گورمه (ایتالیایی)
سپیده,۴,فقط سیب زمینی ها سرد بود,پیتزا پپرونی (ایتالیایی)
پویا,۲,سفارش با بیش از ۲ ساعت تاخیر به دستم رسید و غذا کاملا سرد شده بود و کیفیت آن پایین آمده بود.,پیتزا گوشت و قارچ (آمریکایی)
Mohammed,۵,عالی,پیتزا چهارفصل (ایتالیایی)
محمد,۱,"بوی بد بیکنی که در پیتزا وجود داشت
انگار دنبه میخوردی.
تاخیر بسیار زیاد.",پیتزا بیکن (ایتالیایی)
مهدی,۴,غذا ۲ ساعت طول کشید تا به دستم برسه و ۲ بار هم اعلام تاخیر کردم ... ولی طعم غذا واقعا عالی بود و اینکه گرم به دستم رسید,پیتزا پپرونی (ایتالیایی)
سورن,۳,غذا سرررررد سرد بود,پیتزا بیف گورمه (ایتالیایی)
یگانه,۲,کیفیت غذا خیلی اومده پایین، مرغش خیلی طعم بدی داشت!!,ساندویچ مرغ ویژه
ghazal,۳,غذا کاملا سرد و یخ‌زده بود و نوشابه‌کاملا گرم!!!! پیک هم دستکش و ماسک نداشت.,پیتزا چانو (ایتالیایی)
نسترن,۵,خوب بود,پیتزا کالزون (آمریکایی)
ستاره,۴,سلام. طبق درخواست، سبزیجات همراه همبرگر در بسته ای جداگانه بود(خیلی ممنونم) طعم ساندویچ دیگر خیلی برایم خوشایند نبود.,همبرگر
پری,۳,اخه مگه میشه انقدر مخلفات کم!!!!! اصلا باورم نشد,پیتزا چهارفصل (ایتالیایی)
مرسده,۳,خیلی طول کشید تا بیاد اما بدتر از اون عدم پاسخگویی رستوران و برخورد ناشایستشونه ا هرچند اسنپ فود پیگیری کرد ... البته که پیتزا هم به کیفیت قبل نبود بسیار خشک و سرد و بدون پنیر و ... امیدوارم از کیفیت نزنید که ما مشتری این کیفیت هستیم...,پیتزا پپرونی (ایتالیایی)
مژگان,۴,به جز چانو بقیه رو دوست نداشتم,پیتزا چانو (ایتالیایی)
مهدی,۱,سرد بود,پیتزا پپرونی (آمریکایی)
نیلوفر,۱,برش نزدن پیتزاو‌سرد بودن غذا,پیتزا چهارفصل (ایتالیایی)
سحر,۳,خیلی معمولی بود طغم غذا ولی خب بسته بندی عذای کودک و هدیه داخلش جالب بود,غذای کودک (دخترانه)
حافظ,,زمان ارسال خیلی بالا بود. بالای یک ساعت. و کمی هم سرد رسید,پیتزا میکس (آمریکایی)
حمید,۵,"سلام و خسته نباشید
خیلی خوب و عالی بود و زودتر از زمان تعیین شده در سایت به دستمون رسید ، سپاس از پرسنل تلاشگر و خوب پیتزا سیب ، موفقیت و سلامتی برایتان آرزومندیم.",غذای کودک (دخترانه)
افتاب,۴,غذا عالی ولی زمان حاضر شدنش زیاد بود.,کانتری
حسن,۵,خوشمزه و عالی,پیتزا آفریکانا (آمریکایی)
مرضیه,۴,خیلی به موقع آوردن غذا با کیفیت بود اما اسباب بازی داخل پاکت مناسب کودک نبود,غذای کودک (پسرانه)
ريحانه,۱,بدترین پیتزایی که تا حالا خوردم. نونش خمیر بود. یکم که سرد شد غذا مزه بدی گرفت. خیلی دیر هم به دستمون رسید. تعجب میکنم از رستوران سیب. قبلا انگار بهتر بودن,پیتزا میکس (آمریکایی)
ابوالفضل,۵,داغ به دستمون رسید پیتزا  خوشمزه و عالی بود و ممنون از بابت مدیریت عالی و برخورد مناسب پیک,استار کمبو (۲)
علی,۱,غذا با تاخیر زیاد و سرد به دست ما رسید و پیک بسیار بی ادب بود .من خودم دیگه از این رستوران سفارش نمیدم,سوپر برگر (پرسی)
آذین,۲,پیک نه ماسک داشت و نه دستکش ، خیلی هم اصرار داشت گفتگو انجام بده,پیتزا بیکن (ایتالیایی)
مهسا,۵,خوب,پیتزا سوپریم (ایتالیایی)
