"sc-hKgILt","sc-hKgILt 3","sc-hKgILt 4","sc-hKgILt 5"
"معصومه نصيري","۵","مثل همیشه عالی خوشمزه و داغ و پر از حس خوب 
انتخاب همیشگی ما برای فست فود شیلاست 
خوشحالم شعبه نزدیک ما باز شده","پیتزا مرغ (۳۰ سانتی‌ متری)"
"نیما ابراهیم‌پور","۵","با تشکر از پیکی که غذا رو آورد که یه قلم اشتباه شده بود و ایشون رفت خرید و به من تحویل داد","پیتزا کویین (۲۳ سانتی‌ متری)"
"رضا رضايى","۴","ممنون از مجموعه شيلا بابت اينكه براى نظر مشترى اهميت قائلن.","ساندویچ هات داگ رست بیف"
"مهدی طبسی","۵","مثل همیشه عالی و به توضیحات کاملا انجام شده ممنونم","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"سعید بخشی","۵","عالی بود","پیتزا مرغ و اسفناج اسپینا چیکن (۲۳ سانتی متری)"
"نگار عبداللهی","۵","پیتزادکه مثل همیشه عالی بود
و من از کارت کد تخفیفی که فرستادین خیلی خوشحال شدم چون امشب شب تولدمه و بدون اینکه بدونین  هدیه گرفتم ازتون ممنونم","پیتزا چیکن استروگانف (۲۳ سانتی‌ متری)"
"سمیرا معدنی پور","۵","عالی بود","نوشابه قوطی اسپرایت"
"حسام تبريزي","۵","فوق العاده بود. بسیار خوشمزه و لذیذ.
از برخورد خوب پیک و مجموعه شیلا مخصوصا شعبه مجیدیه متشکرم.
خدا به کسب و کارتان برکت بدهد.","پیتزا مرغ (۳۰ سانتی‌ متری)"
"کامران پورمقدم","۵","غذا گرم و با کیفیت عالی","پیتزا گوشت و قارچ (۲۳ سانتی متری)"
"طیبه کرمی","۳","نونش خمیر بود. سیب زمینی و در کل پیتزا چندان مزه‌دار نبود.","نوشابه خانواده اسپرایت"
"اندیشه رکنی","۵","از سفارشات بسیار بسیار راضی هستم","نان سیر"
"سمیرا وزیری","۵","سپاس از مسئولیت پذیری مجموعه که وقتی سهواً روی فیتکس مرغ و شوید سیب زمینی گذاشته نشده بود بعد از فیدبک به اسنپ بدون درخواست ما یک سیب زمینی سرخ کرده کامل برایمان ارسال کردند","ساندویچ هات داگ مکزیکن"
"کیانا  امرالهی","۵","دقت بالا به جزئیات","استرامبولی ژامبون پنیری"
"Meysam Bahrami","۵","عالي","پیتزا گوشت و قارچ (۳۰ سانتی‌ متری)"
"زهرا داستانی","۵","رفتار پیک بسیار محترمانه بود","فینگر کریسپی"
"زهرا قنبرزاده","۵","همه چی عالی بود","پیتزا کویین (۳۰ سانتی‌ متری)"
"فاطمه کلولی","۵","طعم بسیار عالی داشت لذت بردم","پیتزا چیکن استروگانف (۲۳ سانتی‌ متری)"
"یاسمن مخملیان","۵","خیلی به موقع به دستمون رسید سپاس از آقای حسین جانی و رفیعی","ساندویچ کراکف"
"سامان محمدصالحیان","۵","موفق باشید.","پیتزا دونر استیک (۳۰ سانتی‌ متری)"
"ميترا مرنگي","۲","سیب زمینی و سالاد خوب بود اما غذا به شدت تلخ بود !!!","پیتزا فیتکس مخلوط ۲۳*۱۰ سانتی متری"
"مجید ارودا","۵","پیتزاتون فوق العاده بود کیفیت بی نظیر","پیتزا مرغ (۲۳ سانتی‌ متری)"
"بهناز ناصحی","۵","غذا(استامبولی رست بیف) به موقع و گرم تحویل داده شد و مواد غذایی به کار برده شده تازه بودسپاس","استرامبولی رست بیف"
"هیراد زرشاد","۴","به نظرم پیتزا بهتره کمی ترد باشه. این کمی خمیر بود","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"ملیکا شایسته","۵","مثل همیشه گرم بود خیلی ممنون","پیتزا چیکن استروگانف (۲۳ سانتی‌ متری)"
"شادی میرزایی","۵","مثل همیشه عالی بهترین شعبه شیلا تو منطقه","پیتزا فیتکس مرغ و شوید ۲۳*۱۰ سانتی متری"
"مهدی طبسی","۵","ممنونم واقعا خوب بود وعالی","پیتزا فیتکس مخلوط ۲۳*۱۰ سانتی متری"
"مهسا كاشفي","۲","پیتزا رست‌بیف اصلا رست‌بیف نبود. دونر روی پیتزا بود! دقیقا مواد ساندویچ. بسیار هم چرب بود پیتزا و علی‌رغم قیمت زیادش خوب نبود. استرامبولی خوب بود.","استرامبولی دونر استیک پنیری"
"اندیشه رکنی","۵","مثل همیشه عالی","نان سیر"
"مهدی طبسی","۵","عالی بود","پیتزا فیتکس مخلوط ۲۳*۱۰ سانتی متری"
"مهرداد تکسیبی","۵","همیشه کیفیت بالانگه دارید قیمت مهم نیست","ساندویچ هات داگ با پنیر گودا"
"لیلا احمدی","۵","پیتزا گوشت رو اولین بار بود میگرفتیم خیلی خوشمزه بود","نان سیر"
"متین  صادقی","۵","خوشمزه و با کیفیت","ساندویچ هات داگ با پنیر گودا"
"سهیلا فرامرزی","۵","سس یادشون رفته بود","پیتزا اسپشیال پلاس (۳۰ سانتی متری)"
"شیرین خسروی","۵","واقعا تجربه نشون داده همه شعبه های شیلا عالیه علی الخصوص این شعبه شون ممنون فوق العاده خوشمزه مخصوصا برگر تون","فرش ماشروم برگر"
"الهام نصرالهی","۵","عالی بود بسیار خوشمزه تازه عالی عالی","پیتزا گوشت و قارچ (۲۳ سانتی متری)"
"SorousH Talebi","۵","کیفیت محصولات شیلا کلا بالاست
توجه به توضیحات کردن که ازشون درخواست کردم
واقعا غذا به قدری داغ توی روز بارونی بدستم رسید که انگار توی سالن خودشون غذا به دستم 
بسته بندی عالی
شعبه جدید شیلا هستش انشاا.... همیشه همینجور خوب و عالی باشن","پیتزا فیتکس گوشت و قارچ ۲۳*۱۰ سانتی متری"
"صمد کلانی","۵","خوب بود.","استرامبولی دونر استیک پنیری"
"نگار عبداللهی","۵","آنقدر داغ رسید دستم صبر کردم خنک شه بعد بخورم","پیتزا چیکن استروگانف (۲۳ سانتی‌ متری)"
"محسن فتال","۳","حجم گوشت توی پیتزا رست بیف، نسبت به قبل خیلی کم شده بود و این کار از شیلا عجیبه.","پیتزا رست بیف (۳۰ سانتی‌ متری)"
"مهشید غنی","۵","پیشنهاد مبکنم حتما تست کنید","چیکن چیز کلاسیک"
"زهرا اله دادی","۵","خوب بود","پیتزا کویین (۲۳ سانتی‌ متری)"
"مژگان یعقوبی","۵","سلام خسته نباشید دستتون درد نکنه مثل همیشه عالی وعالیتر نحوه رسوندن غذا توسط اسنپ  که خیلی سریع بود خواستم کامنت بزارم برای اسنپ  وتشکر کنم متاسفانه نمیدونم چه گزینه رو باید بزنم
سپاس ازشما منو راهنمایی کنید","پیتزا فیتکس مخلوط ۲۳*۱۰ سانتی متری"
