"sc-hKgILt","sc-hKgILt 3","sc-hKgILt 4","sc-hKgILt 5"
"پویا","۵","پیتزا فیتکس مرغ و شوید بسیار تند!","سیب زمینی سرخ شده"
"زهرا","۵","خیلی عالی بود 
و ممنون از آقای ابراهیمی بابت سرعت زیادشون در رساندن غذا","پیتزا مخلوط ۳۰ سانتی متری"
"مهدی","۵","پیک اقای ابراهیمی رفتارشون خوب بود","کمبو شیلا"
"نهال","۵","خوب بود","چیز برگر"
"سرینه","۱","برگر کریپسی تند بود","چیز برگر"
"elaheh","۴","حجم کم غذا","پاسترونی گوشت و پنیر"
"نگین","۵","واقعا عالي بود   ممنونم     فقط تايم ارسال  طولاني بود","فرش هات برگر"
"روشنک","۵","ممنون از پرسنل متعهد و خوب شیلا. به خصوص آقای ابراهیمی که با انرژی خوبشون سفارش رو به ما خیلی زود رسوندند.","سالاد سزار با مرغ گریل"
"mina","۵","غذا خیلی سریع و گرم تحویل داده شد و خیلی خوشمزه بود ممنونم از شیلا","پیتزا فیتکس مخلوط ۱۰*۲۳ سانتی متری"
"سهیل","۳","کیفیت غذا بد نبود ولی نوشابه هایی که تو سفارشم بود رو نیاوردن","پیتزا رست بیف ۳۰ سانتی متری"
"ساره","۱","پیک عالی و مودب بود و یفارش به موقع رسید ولی کیفیت غذا بسایر پایین بود فیله های خسک بودند وحجم غذا کلا کم شده از شیلا انتظار نداشتم","چیکن استریپس"
"سارا","۵","شیلا همیشه ثابت کرده که کیفیت رو فدای هیچ چیز نمیکنه، مخصوصا هات داگ هاش، ممنون ازتون","ساندویچ هات داگ با پنیر گودا"
"امیدرضا","۵","مثل همیشه داغ و عالی تشکر از شیلا","پیتزا چیکن استروگانف ۲۳ سانتی"
"Elham","۵","غذا داغ داغ به دستم رسید
طعم غذا هم عالی بود
درکنار همه نکات مثبت برخورد فوق العاده پیک رستوران آقای ابراهیمی هم باید اضافه کرد 
خیلی خوش برخورد بودن","پیتزا پپرونی ۳۰ سانتی متری"
"کتایون","۵","خوشمزه و داغ، پیک سریع رسید","پیتزا اسپشیال پلاس ۳۰ سانتی متری"
"مونا","۵","به موقع، گرم و باکیفیت","فیتکس قارچ و گوشت ۱۰*۲۳ سانتی متری"
"میترا","۵","غذا خوب بود و پیک هم آقای ابراهیمی خیلی م
سر وقت سفارشات رو رساندن","نان سیر"
"مریم","۳","در ظرف باز شده بود و ریخته شده بود در نایلون","سالاد سزار با مرغ سوخاری پنیری"
"Hani","۱","هرگز پیشنهاد نمیکنمم","استرامبولی استیک پنیری"
"شیرین","۱","لطفاً بذارید غذا از گلوی ما بره پایین بعد زنگ بزنید! من کاملاً مطمئنم بیشتر از ۵ بار گوشزد کردم ولی باز تماس میگیرن.","استرامبولی استیک پنیری"
"نسیم","۴","به توضیحات توجه نشد بابت سس","پیتزا اسپینا چیکن ۲۳ سانتی متری"
"رضا","۳","سلام طعم ساندویج خوب بود ولی خبری از  پیاز و جعفری تو ساندویچ نبود","ساندویچ هات داگ مرگز با قارچ و پنیر"
"ستاره","۱","چند ساله از شیلا خرید می کنیم،
این دفعه استیک شیلا شبیه کتلت با گوشت چرخکرده بسیار نا مطلوب بود. 
در تماس تلفنی رفتارشون عالی بود.","استرامبولی استیک پنیری"
"مارا","۱","واقعا کیفیت شیلا بسیار پایین اومده. هربار بدتر از دفعه پیشه . اعتراض میکنیم فقط یه مبلغ به عنوان عذرخواهی تخفیف میدید به جای اینکار روی کیفیت کارتون تمرکز کنید.
بدترین پیتزایی بود که میتونستید ارسال کنید. واقعا متاسفم براتون. با این مبلغ ، انگار پولمو توی جوب ریختم. اصلا قابل خوردن نبود.","استرامبولی چیکن آلفردو"
"دلارام","۵","کیفیت که مثه همیشه عالی بود . ضمنا پیک پسر بسیار مودب و صبوری بودن.","پیتزا چیکن استروگانف ۲۳ سانتی"
"بيتا","۳","استرامبولی مث همیشه عالی بود ولی اولین بار بود چیزبرگر سفارش میدادم مزه هرچیزی توش حس میشد الا گوشت یه ساندویچ غرق در سس که بیشتر انگار کاهو با سس میخوردم برگر رسما هیچ مزه ای نداشت و قطعا اخرین باریه که سفارش میدم و همچنان فقط استرامبولی های خوشمزه تون و سفارش خواهم داد.","استرامبولی استیک پنیری"
"آرزو","۵","خیلی خوشمزه و یا کیفیت","فرش ماشروم برگر"
"زهرا","۵","مثل همیشه کیفیت غذا خوب بود
فقط نمیدونم چرا سس کم میذارن الان دو دفعه است با اینکه در توضیحات درخواست سس مینویسم کلا همون یدونه سس رو میذارن.","استرامبولی چیکن آلفردو"
"نگار","۴","طعم سالاد در کل خوب بود
 اما بسته بندی نه
سالاد در ظرف مخصوص سالاد سزار نبود
 داخل ظرف سیب زمینی ریخته بودن
و ظرف پنیر و سس داخلش بود و مرغ سوخاری بهشون چسبیده بود.","سالاد سزار با مرغ سوخاری پنیری"
"مریم","۴","اصلا مثل قبل پیازداغ نداشت","پیتزا چیکن استروگانف (۲۳ سانتی‌ متری)"
"فرشاد","۱","این همه پول پیتزا دادیم فقط یه خمیر بود با یه کمی هم گوشت اونم اندازه نوک انگشت گوشت زده بود  با تشکر از اسنپ فود","پیتزا رست بیف (۳۰ سانتی‌ متری)"
"مطهره","۱","سس الفردو روی سیب زمینی ترش بود 
سیب زمینی هم نرم بود","آلفردو چیز فرایز"
"sanaz","۵","خیلی عالی بود","پیتزا پپرونی ۳۰ سانتی متری"
"Masi","۱","اصلا از پرسنلشون راضی نیستم رفتار زیر صفر","پاسترونی گوشت و پنیر"
"مهان","۵","کیفیت غذا مثل همیشه خوب بود.پیک هم جناب آقای ابراهیمی به موقع و گرم غذا رو تحویل دادند","استرامبولی چیکن آلفردو"
"Nima","۱","والا الان دیگه قیمت غذا ۱۰۰ تومن نیست، ادم ۵۰۰ تومن هزینه میکنه بعد کلا همش وا رفته انگار داره ادم قیمه با نون میخوره!","پیتزا کویین ۲۳ سانتی متری"
"zahra","۵","مثل همیشه عالی","نوشابه خانواده کوکا کولا"
"ساناز","۱","حجم بسیار کم پاسترونی نسبت به دفعات قبل بسیار توهین آمیز بود و این مسأله به صورت تلفنی هم اعلام کردم","پاسترونی چیکن آلفردو"
"طاهره","۵","مثله همیشه عاااالی","پیتزا مخلوط ۳۰ سانتی متری"
"سعید","۵","واقعا عالی متشکرم","پیتزا فیتکس مخلوط ۱۰*۲۳ سانتی متری"
"مینا","۵","خوشمزه و خوب بود فقط کاش اینقدر کوچیک نبود.در ضمن رفتار پیک آقای غلامی هم خیلی خوب بود.ممنون ازتون","ساندویچ هات داگ کلاسیک"
"مه سا","۴","خوب بود پیتزای اسفناج و مرغش","پیتزا اسپینا چیکن ۳۰ سانتی متری"
"احسان","۵","مثل همیشه عالی","پیتزا مخلوط ۲۳ سانتی متری"
"سیدمحمد","۵","عالی و خشمزه. 
ممنون که به توضیحات توجه می‌کنید.","پیتزا مرغ ۳۰ سانتی متری"
"علیرضا","۱","نه تنها به توضیحات توجه نشد بلکه برعکس عمل کردن، متاسفم","استرامبولی ژامبون پنیری"
"زهرا","۵","یک دلستر کم ارسال شد","ساندویچ هات داگ کلاسیک"
"lida","۱","بی مره ترین پیتزایی که توعمرم خورده بودم","سوپر کمبو"
"ایرین","۵","من مشتری همیشگیتون هستم . خیلی به موقع و گرم رسید و پیک بسیار محترم . پاسترونی عالیه پسرم خیلی دوست داره","پاسترونی چیکن آلفردو"
"نرگس","۵","خیلی عالی بود ممنونم","آلفردو چیز فرایز"
"آرزو","۵","خیلی خوشمزه است.","فرش ماشروم برگر"
"محمد امین","۵","خیلی عالی","استرامبولی استیک پنیری"
"سعید","۵","باتشکر،ازصفرتاصد شیلا","سیب زمینی سرخ شده"
"آرزو","۵","از  پیک آقای ابراهیمی هم ممنونم که زحمت کشیدند و مودب و خوش برخورد هستند.","فیتکس قارچ و گوشت ۱۰*۲۳ سانتی متری"
"محمد","۵","عالی مثل همیشه","پیتزا گوشت و قارچ ۲۳ سانتی متری"
"Sahar","۱","نوشابه تحویل نشد غذا سرد بود","پیتزا هات چیکن (۳۰ سانتی متری)"
"مهتاب","۴","سرد رسید دستم","چیز برگر"
"سحر","۵","آقای ابراهیمی بسیار رفتار محترمانه داشتند من لذت بردم از برخوردشون","پیتزای فیتکس پپرونی ۱۰*۲۳ سانتی متری"
"شهرزاد","۵","عالی","پیتزا مخلوط ۲۳ سانتی متری"
"متین","۳","فیله ها سوخته و غیر قابل خوردن بود. دست نخورده ماند","پیتزا مخلوط ۳۰ سانتی متری"
"صادق","۵","دم پیک محترم که اینقدر با اخلاق بودن. شیلا مثل همیشه عالیه","پیتزا مرغ ۳۰ سانتی متری"
"علی","۵","خوشمزه و با کیفیت مثل هميشه","پیتزا کویین ۲۳ سانتی متری"
"احمد","۴","کیفیت عالی داغ و خوشمزه سفارش بدستم رسید 
ممنون از شیلا","پیتزا مخلوط ۲۳ سانتی متری"
". امیر","۵","کیفیت خوب بود و با تشکر از آقای ابراهیمی عزیز که به سرعت و در این هوای بارونی زحمت کشیدند و غذامون رو داغ داغ تحویل دادند","استرامبولی ژامبون پنیری"
"سینا","۵","مرسیز","پیتزا فیتکس مخلوط ۱۰*۲۳ سانتی متری"
"zahra","۵","عاشق اینم که روی فاکتور مینویسن نوش جان","نان سیر"
"هنگامه","۱","مواد سالاد سزار فقط کاهو بود . گوجه نداشت و اینکه از شیلا انتظار نداشتیم که لسنطکری باشه فقط کاهو ک یه مقدار کم مرغ گریل یخ . از ت. یخچال بریزن روش. خیلی بدمزه بود و در عین حال گرون","سالاد سزار با مرغ گریل"
"شکیبا","۵","فوق العاده زود به دستم رسید و پیک آقای ابراهیمی بسیار مودب و متین بودن با تشکر","استرامبولی مرغ و اسفناج پنیری"
"ali","۵","کیفیت خوب.جناب پیک بسیار جنتلمن.","پیتزا مخلوط ۲۳ سانتی متری"
"فاطمه","۱","واقعا بی کیفیت بود و اصلا قابل خوردن نبود از شیلا واقعا بعید بود","چیکن چیز کلاسیک"
"خانم","۴","شیلا همیشه عالیه مشتری ثابتتونم ولی برگر خیلی پر از سس و‌پنیر اب شده بود طعم شوری گرفته بود 
پیتزا عالی فقط کاش بزرگتر بود 
در کل خوب بود ولی همیشه بهتر بودید","پیتزا گوشت و قارچ ۲۳ سانتی متری"
"بهار","۵","پیک بسیار مودب کیفیت خوب غذا و غذای گرم","چیکن چیز کلاسیک"
"هستی","۵","بینهایت از شیلا و جناب آقای ابراهیمی ممنونم . خیلی لذت بردم","پیتزا مخلوط ۲۳ سانتی متری"
"شهلا","۵","خیل عالی بود، ممنون که به توضیحات توجه داشتین.","پیتزا پپرونی ۳۰ سانتی متری"
"مریم","۵","عالی بود","پیتزا دونر استیک ۳۰ سانتی متری"
"هادی","۳","کیفیت شیلا تا بوده عالی بوده و همیشه ۵ ستاره ولی تجربه خرید از شیلا مدتی هست که با تماس‌های گاه ‌و بی‌گاه برای دادن امتیاز آزارنده شده که امیدوارم با حل شدنش، همچنان لذت خرید ازشونو تکمیل کنه.","پاسترونی پستوچیکن"
"کیمیا","۳","وقت بخیر
من میخواستم یه نظری بدم 
چرا هر وقت اینجا سفارش میدم به ما زنگ میزنید که سفارش چطور بود .
خب اگر خودمون بخوایم اینجا امتیاز میدیم
وقتی هم امتیاز نمیدیم یعنی راضی نبودیم
سفارش من یه کراکف بود از کی تا به حال ساندویچ کراکف را نصف می کنن ؟
کراکف باید کامل باشه نه نصف کرافک و سوخته سیب زمینی ها کاملا خمیر شده بود 
اصلا راضی نبود متاسفانه فقط بسته بندی خوب که ما بسته بندی را قرار نیست بخوریم","نان سیر"
"مصطفی","۲","گوشت همبرگر متاسفانه کیفیت خوبی نداشت، هات داگ خوب بود","کمبو چیز"
"آرمین","۵","عالی بود و ممنونم از پیکتون جناب ابراهیمی","فیتکس قارچ و گوشت ۱۰*۲۳ سانتی متری"
"صفیه","۴","کیفیت و حجم غذا عالی. سرعت ارسال عالی چون بعد از ثبت سفارش ۲۲ دقیقه ای رسید دستم. فقط یک اشکالی که بود من مزه دیپ گودا رو خیلی حس نکردم چون مزه سس مخصوص غالب بود. دفعه بعد میسپرم که سس مخصوص برام نزنن. از کناره های ساندویچم سس روان بود. نسبتا سس زیادی به کاهو زده شده بود که ممکن مورد پسند افراد دیگه باشه. ضمنا سیب آلفردو داغ و عالی بود. ساندویچم تقریبا سرد شده بود. با توجه به زمان ارسال تعجب کردم که چرا ولرم رئو به سرد شدنه. همزمانی آماده سازی سفارشها میتونه  از این قضیه جلوگیری کنه به نظرم. سپاس از پیک مربوطه آقای ابراهیمی که با سرعت سفارش من رو رسوندن.","چیز برگر"
"امین","۴","طعم غذاها خوب بود اما حجمشون نسبت به قیمت و مالیاتش زیاد بود","فیتکس قارچ و گوشت ۱۰*۲۳ سانتی متری"
"مرضیه","۵","با تشکر ویژه از پیک مربوط به سفارش","پیتزا مخلوط ۳۰ سانتی متری"
"زهرا","۴","قیمت کمی بالاست، در فودپارتی بیشتر کنید تخفیفها رو","پیتزا رست بیف (۳۰ سانتی‌ متری)"
"حسن","۵","خدایی من آدم بد غذایی هستم ولی فوق‌العاده بود خیلی زیاد خوب بود 
اما خدا تو تصویر سیب زمینی زیاده اما تو بسته من کلا ۸ دونه یا ۹ دونه سیب زمینی بود 
خیلی کم بود","پیتزا فیتکس مخلوط ۲۳*۱۰ سانتی متری"
"ناهید","۵","عالي","پیتزا مرغ و اسفناج اسپینا چیکن (۲۳ سانتی متری)"
"بهزاد","۵","کیفیت پیتزا خوب و خوشمزه بود ارسال به موقع با تشکر از پیتزا شیلا و پیک محترم آقای ابراهیمی","پیتزا سبزیجات (۳۰ سانتی‌ متری)"
"سارا","۴","مثل همیشه عالی","استرامبولی مرغ و اسفناج پنیری"
"Samira","۵","آقای ابراهیمی پیک بسیار خوش برخورد و محترم بودن کیفیت غذاهم که همیشه عالی هست و مشتری ثابت شیلا هستم","فیتکس قارچ و گوشت ۱۰*۲۳ سانتی متری"
"Samira","۵","مثه همیشه عالی و خوشمزه","فیتکس قارچ و گوشت ۱۰*۲۳ سانتی متری"
"Elahe","۵","خیلی عاااالی
ممنون از شیلای عزیز، بخاطر کیفیت عالی و ارسال به موقع تون 
ممنون از برخورد خوب و خوش پیک رستورانتون","نوشابه لیموناد ۱ لیتری"
"ساناز","۵","همه چیز عالی بود، آقای ابراهیمی سفارش را سریع تحویل داد","استرامبولی چیکن آلفردو"
"حسین","۵","ممنون از پیک محترم اقای محمدی","استرامبولی مرغ و اسفناج پنیری"
"شهلا","۵","خیلی خوب بود، ممنون بابت توجه به توضیحات.","پیتزا کویین ۲۳ سانتی متری"
"جواد","۳","تناسب حجم و قیمت","فیتکس قارچ و گوشت ۱۰*۲۳ سانتی متری"
"Alireza","۵","خوشمزه و قابل قبول","پیتزا فیتکس مخلوط ۱۰*۲۳ سانتی متری"
"خانم","۵","لذیذ بود","پاسترونی پستوچیکن"
"ایمان","۵","عالی","پیتزا سبزیجات ۳۰ سانتی متری"
"سمیرا","۵","مثل همیشه عالی ، رفتار پیک هم بسیار عالی و محترمانه بود","پیتزا چیکن استروگانف ۲۳ سانتی"
"فرنیا","۵","من مشتری ثابت هستم و همیشه راضیم عالی","کمبو فیت"
"گیتا","۵","ممنون 
عاااالی و گرم به دستم رسید","نان سیر"
"آرزو","۵","خیلی خوشمزه","فرش برگر"
"فرشاد","۴","خوب","فیتکس قارچ و گوشت ۱۰*۲۳ سانتی متری"
"مهناز","۵","شیلا یکی از بهترین فست فود هاست واقعا کیفیت خوبی داره ممنون از مدیریت رستوران","پاسترونی پستوچیکن"
"مهدیه","۴","مثل همیشه با کیفیت ، ولی سس خامه همیشه زیرش داشت اینبار نداشت یکم خشک بود","پیتزا دونر استیک ۳۰ سانتی متری"
"خانم","۵","همه چیز عالی بود مخصوصا برخورد خوب پیک محترم آقای ابراهیمی عزیز","سالاد سزار با مرغ سوخاری پنیری"
"سجاد","۵","ب نظرم ارزش خرید رو داره و توصیه میکنم ب دوستان 
همه چیشون عالی بود","فرش چیز برگر"
"سعید","۵","خیلی عالی متشکرم از شیلا و اینکه یه تشکر ویژه هم بکنم از پیک این فروشگاه آقای ابراهیمی عزیز","پیتزا فیتکس مخلوط ۱۰*۲۳ سانتی متری"
"مهدی","۵","شيلا درجه يك 
آقای ابراهیمی عزیز و دوست داشتنی","ساندویچ هات داگ رست بیف"
"هانیه","۳","به نظر میاد که پیتزا شیلا از نظر حجم مواد افت کرده، امیدوارم روز به روز بهتر بشید","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"مهرداد","۳","غذا سرد و پنیر پیتزا کیفیت نداشت و اولین و آخرین سفارش من بود","پیتزا مخلوط ۲۳ سانتی متری"
"ندا","۳","متاسفانه ایندفعه مثل سری اول نبود و فیله سوخاری سالاد سوخته بود و پنیر داخلش حسابی سفت شده بود","پیتزا مخلوط ۳۰ سانتی متری"
"بنفشه","۵","علاوه بر کیفیت عالی شیلا که نیاز به تعریف نداره، آقای پیک هم خیلی خوش برخورد و محترم هستند.","پاسترونی چیکن آلفردو"
"نازنین","۵","مثل هميشه عالى","استرامبولی چیکن آلفردو"
"محمد","۵","پیک محترم","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"نازنین","۵","عالی مثل همیشه","چیکن چیز ژامبوپلاس"
"هستی","۵","چطور ممکنه انقدر خوب باشید ؟ کیفیت عالی ارسال عالی بسته بندی عالی طعم عالی . فوق العاده هستین و ممنونم از اقای ابراهیمی","استرامبولی استیک پنیری"
"صدرا","۵","مثل همیشه عالی","استرامبولی مرغ و اسفناج پنیری"
"مونا","۵","عالی بود ممنون ازتون","پیتزا اسپشیال پلاس ۳۰ سانتی متری"
"طیبه","۵","بسیار عالی","چیز برگر"
"سیامک","۴","روی خوش و انرژی عزیزی که غذا رو اورد عالی بود . غذا رو هم که شیلا همه چیزش خوبه","فیتکس قارچ و گوشت ۱۰*۲۳ سانتی متری"
"ریحانه","۳","حقیقت من همیشه از شیلا راضی بودم ولی اینبار مثل همیشه نبود","پیتزا چیکن استروگانف ۲۳ سانتی"
"آرزو","۵","ممنونم","فرش چیز برگر"
"زینت","۵","راضی بودم به طور کلی. به نسبت حجم قیمت ها کمی بالاست","فرش ماشروم برگر"
"افشین","۵","عالی","پیتزا سبزیجات ۳۰ سانتی متری"
"ابوالفضل","۵","پیکتون اقای ابراهیمی هم بسیار خوش برخورد بودن","پیتزا اسپینا چیکن ۳۰ سانتی متری"
"حسین","۵","سرعت  و ادب پیکشون عالی بود","سالاد سزار با مرغ سوخاری پنیری"
"محمد","۵","خوشمزه بود بازم سفارش میدم","پاسترونی گوشت و پنیر"
"مهسا","۵","عالی و گرم و سریع","چیکن استریپس"
"Iman","۳","نسبت به قیمت کیفیت معمولی","پیتزای فیتکس پپرونی ۱۰*۲۳ سانتی متری"
"سعید","۵","عالی خصوصا پیک شیلا( دوستداشتنی)","سیب زمینی سرخ شده ساده"
"parisa","۴","خوب ولی فقط فیله ها شور بودن.","سالاد سزار با مرغ سوخاری پنیری"
"سروش","۵","خوشمزه بود و گرم رسید","پیتزا کویین ۲۳ سانتی متری"
"سالار","۵","همه چی مثل همیشه عالی، پیک محترم آقای ابراهیمی هم بسیار با انرژی مثبت و خوش برخورد","پیتزا فیتکس مرغ و شوید ۲۳*۱۰ سانتی متری"
"فاطمه","۵","پیک بسیار محترم","سالاد کلم"
"فرشاد","۱","هات داگ کاملا سوخته بود","ساندویچ هات داگ با پنیر گودا"
"طاده","۴","خوبه","هات داگ چیز فرایز"
"پانته‌آ","۳","اغلب غذاهای شیلا خوش طعم هستند ولی طعم این پیتزا رو من نپسندیدم . البته به ذائقه من نمیخورد . پیک بسیار خوشرو و محترم جناب آقای ابراهیمی خیلی با احترام غذا رو تحویل دادند که بسیار سپاسگزارم","پیتزا رست بیف ۳۰ سانتی متری"
"اریکا","۵","عالی مثل همیشه، پیکشونم خیلی ادم پرانرژی بودن عالی","استرامبولی استیک پنیری"
"shayegh","۵","ممنون از ارسال سریع و غذای گرم 
واقعا اینکه ۲۵ دقیقه ای تحویل شد نشونه مجموعه قوی و کاربلد شیلا هست
بار چندم هست پاسترونی سفارش میدم و طعمش رو خیلی دوست دارم فقط اینکه نسبت به اوایل حجمش کمتر شده
پیک هم بسیار محترم و مودب بود","پاسترونی چیکن آلفردو"
"زهرا","۵","بسیار با کیفیت وعالی وپیک محترم جناب ابراهیمی وقت شناس ومحترم بودند","چیز برگر"
"آرزو","۵","خیلی خوشمزه و به موقع آوردند","کمبو یامی"
"صدرا","۵","پیک بسیار خوش برخورد بودن","آلفردو چیز فرایز"
"علی","۳","واقعا قیمت رو خیلی بردید بالا","پیتزا کویین ۳۰ سانتی متری"
"طاهره","۵","مثل همیشه خوشمزه و گرم توسط آقای ابراهیمی پیک خوشروی رستوران خیلی سریع به دستم رسید","پاسترونی پستوچیکن"
"عادل","۴","نوشابه های کمبو ارسال نشده بود","کمبو فیت"
"مریم","۱","پنیر سوخته بود من فقط از این غذا اینو متوجه شدم که انقدر پنیر تو فر مونده بود که سوخته بود","چیکن چیز کلاسیک"
"مائده","۳","از شیلا توقع بیشتری داشتم. غذا یکم سرد بود و اصلا مثل همیشه لذیذ نبود.","فرش ماشروم برگر"
"سالار","۵","مثل همیشه عالی بود
و تشکر ویژه از آقای ابراهیمی پیک محترم","ماءالشعیر قوطی هی دی استوایی"
"زهرا","۵","مثل همیشه عالی","چیز برگر"
"نرگس","۵","ممنون هم از ارسال فوری و پیک محترم آقای ابراهیمی و غذای خوش طعم","پیتزا مرغ ۳۰ سانتی متری"
"زهرا","۱","به شدت بد مزه بود 
دونه های سویا انقدر زیاد بود قشنگ موقع خوردن تو دهن حس میشد و با‌چشم میشد دید 
بوی زخم گوشت هم که نگم دیگه
سیب زمینی هم فک کنم از صبح مونده بود
انقدر پول میگیرید حداقل کمی گوشت بریزید توش یا اسمش رو بگذارید استرامبولی سویا
حرومتون بشه، من اصلا راضی نبودم
همونجوری رفت اشغالی","استرامبولی گوشت و پنیر"
"فائزه","۵","مثل همیشه عالی","پیتزا دونر استیک ۳۰ سانتی متری"
"امیر","۵","پیتزا مرغ و اسفناج عالی بود","پیتزا اسپینا چیکن ۳۰ سانتی متری"
"محمد","۵","پیک محترم بود","پیتزا مخلوط ۲۳ سانتی متری"
"سحر","۵","خیلی خوشمزه و کاملا داغ بود","پیتزا اسپینا چیکن ۲۳ سانتی متری"
"رضا","۴","طعمش خوبه","پیتزا مخلوط ۳۰ سانتی متری"
"امیرحسین","۵","عالی بود","استرامبولی چیکن آلفردو"
"بابک","۵","عالی","ساندویچ کراکف"
"Mehdi","۵","عالی بود","سیب زمینی سرخ شده"
"سمیرا","۵","عالی و خوشمزه مثل همیشه","چیز برگر"
"نفیسه","۴","پیک فوق العاده عالی و مودب بودن. اسمشون هم پرسیدم که اینجا بگم آقای ابراهیمی . هم به موقع رسید هم برخورد خوبی داشتند. متشکرم","پیتزا اسپشیال پلاس ۳۰ سانتی متری"
"محمد","۵","شیلا مگه میشه بد باشه؟!همیشه عالیه","پیتزای فیتکس پپرونی ۱۰*۲۳ سانتی متری"
"رها","۳","بار دومه سوخاری میگیرم و کهنه و مونده اس","پیتزا فیتکس پپرونی ۲۳*۱۰ سانتی متری"
"مرجان","۵","مثل همیشه عالی","پیتزا فیتکس پپرونی ۲۳*۱۰ سانتی متری"
"Kamran","۲","همبرگر افتضاح،خشک شده بود وسوخته بود…حجم پاسترونی نصف میزان شعب دیگه بود و بسیار بی رنگ و خشک.افتضاح ترين شعبه شيلا بود واقعا از نظر كيفيت","پاسترونی گوشت و پنیر"
"سهیل","۴","خوب بود فقط توقع حجم بیشتری داشتم","سالاد سزار با مرغ گریل"
"نگار","۵","عالی و خوش طعم و تازه","پاسترونی چیکن آلفردو"
"ریحانه","۵","مثه همیشه عالی","فرش ماشروم برگر"
"محمد","۵","با وجود کیفیت بالا ولی در غذا مو بود و بیرون ریختیم","پیتزا چیکن استروگانف (۲۳ سانتی‌ متری)"
"روژه","۵","عالی بود ممنونم از خدمات خوب و کیفیت غذاتون","نان سیر"
"فرزانه","۵","جزو فن های ماست","پیتزا فیتکس پپرونی ۲۳*۱۰ سانتی متری"
"ا","۵","راضی بودم","سوپر کمبو"
"افروز","۱","پیتزای مرغ و شوید سفارش دادم چیزی که خوردم پنیر پیتزا با خمیر بود 
چرا انقد افتضاح شده","پیتزا فیتکس مرغ و شوید ۲۳*۱۰ سانتی متری"
"ندا","۳","همبرگر سرد شده بود و گوشت بوی بدی میداد.
کاهو تازه نبود","سالاد سزار با مرغ گریل"
"زهرا","۵","مثل همیشه عالی بود","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"شهرزاد","۵","مثل همیشه عالی و خوشمزه 
تندرست بمونین","پیتزا رست بیف (۳۰ سانتی‌ متری)"
"سحر","۵","مثل همیشه عالی","آب معدنی کوچک"
"علی","۵","خداقوت عرض میکنم","استرامبولی دونر استیک پنیری"
"اندیشه","۵","سالاد سزار عالی بود","پیتزا فیتکس مخلوط ۲۳*۱۰ سانتی متری"
"محمد","۵","عالی
سپاس از ارسال به موقع ( سفارش رو گرم دریافت کردم)","پیتزا فیتکس مرغ و شوید ۲۳*۱۰ سانتی متری"
"زهرا","۵","فوق العاده لذیذ و خوشمزه بود,,ممنون","استرامبولی دونر استیک پنیری"
"Reza","۱","افتضاااااااااااااااااااااااااح بار آخرمون شد از شیلا خرید کنیم","پیتزا دونر استیک (۳۰ سانتی‌ متری)"
"neda","۵","مثل همیشه عالی","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"فریما","۵","با تشکر از آقای ابراهیمی","پاسترونی چیکن آلفردو"
"Hosseyn","۵","بسیار عالی و باکیفیت
خمیر و باقی متریال عالی بود","استرامبولی دونر استیک پنیری"
"مهسا","۵","مثل همیشه با کیفیت و عالی","پیتزا کویین (۳۰ سانتی‌ متری)"
"شیوا","۳","طعم و مزه بد نیست .اما هر روز داره کوچیکتر میشه چندسانت. این بده","پیتزا فیتکس مخلوط ۲۳*۱۰ سانتی متری"
"کوین","۵","مثل همیشه عالی","استرامبولی دونر استیک پنیری"
"صدف","۳","خیلی شور میکنید پیتزاهاتونو جدیدا","پیتزا گوشت و قارچ (۲۳ سانتی متری)"
"مریم","۵","همه چی خوشمزه بود مخصوصا پیتزا","نوشابه قوطی کوکا کولا"
"مونا","۵","عالی بود","پیتزا رست بیف (۳۰ سانتی‌ متری)"
"ناهید","۵","اقاي ابراهيمي خيلي زحمت كشيدن خيلي ممنونم","پیتزا گوشت و قارچ (۲۳ سانتی متری)"
"ندا","۵","عالی مثل همیشه ممنون بابت رفتار خوب پیک رستوران","استرامبولی چیکن آلفردو"
"شیما","۵","عالی بود فکرشو نمیکردم آنقدر طعمش متفاوت باشه","پیتزا چیکن استروگانف (۲۳ سانتی‌ متری)"
"فائزه","۵","ممنون از پیتزا شیلا مثل همیشه عالی و رفتار مناسب پیک اسنپ فود آقای ابراهیمی.","پیتزا چیکن استروگانف (۲۳ سانتی‌ متری)"
"سارا","۳","برخورد پیک آقای ابراهیمی بسیار مناسب و خوب بود.","پیتزا اسپشیال پلاس (۳۰ سانتی متری)"
"امیر","۵","عالی!","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"دانيال","۲","فيله داخل سوخاري سوخته بود و واقعا طعم بدي داشت","نان سیر"
"رایا","۲","فیله سوخاری ها سوخته بود.
نمیدونم برای یه سزار به این بی کیفیتی و کم حجمی چرا اینقدر پول میگیرند. نه گوجه داره نه نون سوخاری.فقط کاهو و فیله ست.و یکم زیتون","سالاد سزار با مرغ سوخاری پنیری"
"الهام","۴","پیتزا خیلی خوب بود 
استرامبولی خیلی خمیر بود و اصلا خوب نبود","استرامبولی چیکن آلفردو"
